Employee ID,Departments ,Promoted,Review,Projects,Salary,Tenure,Satisfaction,avg_hrs_month,left
30018132,technical,0,0.74,3,low,4,0.84,182,1
30018133,support,0,0.55,2,low,3,0.4,147,1
30018134,support,0,0.7,3,low,6,0.57,273,1
30018135,support,0,0.54,2,low,3,0.4,148,1
30018136,support,0,0.47,2,low,3,0.43,147,1
30018137,support,0,0.78,6,low,2,0.13,152,1
30018138,support,0,0.55,2,low,3,0.44,135,1
30018139,support,0,0.55,2,low,3,0.38,134,1
30018140,support,0,0.54,2,low,3,0.39,132,1
30018141,support,0,0.92,7,low,4,0.1,307,1
30018142,support,0,0.46,2,low,3,0.37,140,1
30018143,support,0,0.94,7,low,4,0.11,255,1
30018144,technical,0,0.81,6,low,4,0.1,309,1
30018145,technical,0,0.54,2,low,3,0.38,128,1
30018146,technical,0,1,4,low,5,0.85,225,1
30018147,management,0,0.91,5,medium,5,0.85,226,1
30018148,IT,0,0.93,7,medium,4,0.11,308,1
30018149,IT,0,0.95,6,medium,5,0.1,244,1
30018150,IT,0,0.56,2,medium,3,0.36,132,1
30018151,IT,0,0.94,6,medium,4,0.11,286,1
30018152,IT,0,0.7,6,medium,4,0.81,161,1
30018153,product_mng,0,0.54,2,medium,3,0.43,153,1
30018154,product_mng,0,0.98,4,medium,6,0.9,264,1
30018155,product_mng,0,0.86,5,medium,5,0.76,223,1
30018156,product_mng,0,0.5,2,medium,3,0.43,135,1
30018157,IT,0,0.99,2,medium,3,0.74,277,1
30018158,product_mng,0,0.77,5,medium,4,0.09,275,1
30018159,product_mng,0,0.49,2,high,3,0.45,149,1
30018160,product_mng,0,0.87,7,low,4,0.09,295,1
30018161,product_mng,0,0.97,6,medium,4,0.11,277,1
30018162,product_mng,0,0.79,7,medium,4,0.11,306,1
30018163,product_mng,0,0.83,6,medium,4,0.1,295,1
30018164,marketing,0,0.54,2,medium,3,0.4,137,1
30018165,sales,0,0.56,2,low,3,0.43,157,1
30018166,accounting,0,0.56,2,low,3,0.39,142,1
30018167,support,0,0.54,2,low,3,0.45,140,1
30018168,technical,0,0.49,2,low,3,0.38,151,1
30018169,management,1,0.59,4,low,3,0.79,139,1
30018170,marketing,0,0.85,4,low,6,0.84,249,1
30018171,marketing,0,0.77,6,low,4,0.11,291,1
30018172,marketing,0,0.87,6,low,4,0.11,305,1
30018173,sales,0,0.84,5,low,3,0.17,232,1
30018174,sales,0,0.45,2,low,3,0.44,132,1
30018175,sales,0,0.57,2,low,3,0.37,130,1
30018176,sales,0,0.79,6,low,4,0.1,291,1
30018177,sales,0,0.5,2,low,3,0.4,130,1
30018178,sales,0,1,5,low,5,0.89,246,1
30018179,sales,0,0.48,2,low,3,0.42,143,1
30018180,sales,0,0.55,2,low,3,0.46,129,1
30018181,sales,0,0.83,6,low,4,0.09,255,1
30018182,sales,0,0.51,2,low,3,0.37,155,1
30018183,sales,0,0.77,6,low,4,0.1,265,1
30018184,sales,0,0.84,6,low,4,0.1,279,1
30018185,sales,0,0.97,6,low,4,0.11,284,1
30018186,sales,0,1,5,medium,6,0.9,221,1
30018187,sales,0,0.52,2,medium,3,0.38,154,1
30018188,sales,0,0.52,2,medium,3,0.36,147,1
30018189,sales,0,0.46,2,medium,3,0.42,150,1
30018190,sales,0,0.94,7,medium,4,0.09,267,1
30018191,sales,0,0.52,2,medium,3,0.43,158,1
30018192,accounting,0,0.46,7,medium,5,0.24,224,1
30018193,accounting,0,1,4,medium,5,0.91,257,1
30018194,accounting,0,0.5,2,medium,3,0.44,148,1
30018195,hr,0,0.87,3,medium,4,0.71,177,1
30018196,hr,0,0.49,2,medium,3,0.4,155,1
30018197,hr,0,0.47,2,medium,3,0.43,144,1
30018198,hr,0,0.85,6,high,4,0.09,289,1
30018199,technical,0,0.52,2,low,3,0.43,160,1
30018200,technical,0,0.96,4,medium,5,0.9,258,1
30018201,technical,0,1,5,medium,5,0.84,234,1
30018202,technical,0,0.48,2,medium,3,0.37,137,1
30018203,technical,0,0.68,5,medium,2,0.86,263,1
30018204,technical,0,0.84,6,low,4,0.11,251,1
30018205,technical,0,0.57,2,low,3,0.37,133,1
30018206,technical,0,0.46,2,low,3,0.4,132,1
30018207,technical,0,0.62,4,low,4,0.14,158,1
30018208,technical,0,0.46,2,low,3,0.4,135,1
30018209,technical,0,1,4,low,6,0.75,216,1
30018210,support,0,0.84,6,low,5,0.11,300,1
30018211,support,0,0.49,2,low,3,0.46,138,1
30018212,support,0,0.92,6,low,4,0.11,260,1
30018213,support,0,0.49,2,low,3,0.38,132,1
30018214,support,0,0.89,3,low,5,0.7,183,1
30018215,support,0,0.82,6,low,4,0.09,250,1
30018216,support,0,0.45,2,low,3,0.37,151,1
30018217,support,0,0.83,6,low,4,0.1,292,1
30018218,support,0,0.57,2,low,3,0.38,140,1
30018219,support,0,1,5,low,5,0.9,221,1
30018220,support,0,0.51,2,low,3,0.44,138,1
30018221,technical,0,0.5,2,low,3,0.36,132,1
30018222,technical,0,0.84,7,low,5,0.31,133,1
30018223,technical,0,0.84,6,low,4,0.1,283,1
30018224,management,0,0.48,2,low,3,0.42,129,1
30018225,IT,0,1,4,low,5,0.74,249,1
30018226,IT,0,0.87,5,low,5,0.73,257,1
30018227,IT,0,0.96,6,low,4,0.09,245,1
30018228,IT,0,0.53,2,low,3,0.45,155,1
30018229,IT,0,0.8,6,low,4,0.11,256,1
30018230,product_mng,0,0.47,2,low,3,0.37,152,1
30018231,product_mng,0,0.99,4,low,5,0.84,267,1
30018232,product_mng,0,0.46,2,low,3,0.41,151,1
30018233,product_mng,0,0.92,4,low,5,0.76,239,1
30018234,IT,0,0.87,6,low,4,0.11,306,1
30018235,marketing,0,0.88,4,low,5,0.84,263,1
30018236,marketing,0,0.5,2,low,3,0.39,147,1
30018237,marketing,0,0.91,6,low,4,0.11,278,1
30018238,marketing,0,0.56,2,low,3,0.45,154,1
30018239,marketing,0,0.52,2,low,3,0.37,143,1
30018240,marketing,0,0.52,2,low,3,0.4,155,1
30018241,sales,0,0.48,2,low,3,0.39,160,1
30018242,accounting,0,0.8,6,low,4,0.11,304,1
30018243,support,0,1,5,low,5,0.83,240,1
30018244,technical,0,0.92,6,low,4,0.11,305,1
30018245,management,0,0.5,2,low,3,0.39,136,1
30018246,marketing,0,0.45,2,low,3,0.45,132,1
30018247,marketing,0,0.95,7,low,4,0.1,301,1
30018248,marketing,0,0.98,5,low,6,0.9,243,1
30018249,sales,0,0.51,2,low,3,0.45,147,1
30018250,sales,0,0.89,5,low,5,0.79,239,1
30018251,sales,0,0.99,5,low,5,0.9,260,1
30018252,sales,0,0.84,7,low,4,0.11,296,1
30018253,sales,0,0.55,2,low,3,0.43,129,1
30018254,sales,0,0.54,5,low,5,0.31,132,1
30018255,sales,0,0.5,2,low,5,0.32,135,1
30018256,sales,0,0.57,2,low,3,0.45,158,1
30018257,sales,0,0.99,4,low,5,0.81,259,1
30018258,sales,1,0.46,2,low,3,0.41,160,1
30018259,sales,0,0.78,7,low,4,0.11,278,1
30018260,sales,0,0.88,6,low,4,0.1,284,1
30018261,sales,0,0.53,2,low,4,0.7,274,1
30018262,sales,0,0.74,4,low,2,0.54,164,1
30018263,sales,0,0.48,2,low,3,0.41,148,1
30018264,sales,0,0.5,2,medium,3,0.38,140,1
30018265,sales,0,0.51,2,medium,3,0.37,127,1
30018266,sales,0,0.85,6,medium,5,0.11,308,1
30018267,sales,0,0.47,2,medium,3,0.4,146,1
30018268,accounting,0,0.84,6,medium,4,0.1,261,1
30018269,accounting,0,0.99,5,medium,5,0.89,257,1
30018270,accounting,0,0.8,6,medium,4,0.11,285,1
30018271,hr,0,0.55,2,medium,3,0.36,141,1
30018272,hr,0,0.46,2,medium,3,0.4,127,1
30018273,hr,0,0.85,6,medium,4,0.09,297,1
30018274,hr,0,0.46,2,medium,3,0.4,143,1
30018275,technical,0,0.55,2,medium,3,0.37,152,1
30018276,technical,0,0.51,2,high,3,0.44,156,1
30018277,technical,0,0.8,7,low,5,0.09,283,1
30018278,technical,0,0.87,4,medium,6,0.92,226,1
30018279,technical,0,0.91,4,medium,5,0.74,232,1
30018280,technical,0,0.82,6,medium,4,0.09,249,1
30018281,technical,0,0.95,4,medium,5,0.89,275,1
30018282,technical,0,0.8,6,low,4,0.09,304,1
30018283,technical,0,0.54,7,low,3,0.27,278,1
30018284,technical,0,0.91,6,low,4,0.1,287,1
30018285,technical,0,0.89,7,low,4,0.1,285,1
30018286,support,0,0.94,5,low,6,0.77,226,1
30018287,support,0,0.82,5,low,5,0.9,259,1
30018288,support,0,0.5,2,low,3,0.39,135,1
30018289,support,0,1,5,low,5,0.76,219,1
30018290,support,0,0.93,6,low,4,0.1,256,1
30018291,support,0,0.9,5,low,6,0.87,254,1
30018292,support,0,0.5,2,low,3,0.38,153,1
30018293,support,0,0.99,5,low,5,0.77,228,1
30018294,support,0,0.87,4,low,5,0.78,228,1
30018295,support,0,0.5,2,low,3,0.44,128,1
30018296,support,0,0.52,2,low,3,0.38,153,1
30018297,technical,0,0.46,2,low,3,0.43,156,1
30018298,technical,0,0.5,4,low,3,0.39,294,1
30018299,technical,0,1,5,low,5,0.88,219,1
30018300,management,0,0.46,2,low,3,0.45,153,1
30018301,IT,0,0.53,2,low,3,0.4,151,1
30018302,IT,0,0.51,2,low,3,0.36,155,1
30018303,IT,0,0.48,2,low,3,0.36,158,1
30018304,IT,0,0.98,5,low,5,0.9,245,1
30018305,IT,0,0.53,2,low,3,0.43,131,1
30018306,product_mng,0,0.87,5,low,5,0.89,225,1
30018307,product_mng,0,0.84,6,low,4,0.1,286,1
30018308,product_mng,0,0.5,2,low,3,0.37,135,1
30018309,product_mng,0,0.51,2,low,3,0.37,153,1
30018310,IT,0,0.9,5,low,5,0.87,252,1
30018311,accounting,0,0.56,2,low,3,0.4,149,1
30018312,accounting,0,0.97,4,low,5,0.9,258,1
30018313,hr,0,0.46,2,low,3,0.37,158,1
30018314,hr,0,0.54,2,low,3,0.44,149,1
30018315,hr,0,0.95,5,low,5,0.85,236,1
30018316,marketing,0,0.98,5,low,6,0.78,239,1
30018317,marketing,0,0.47,2,low,3,0.42,159,1
30018318,sales,0,0.99,5,low,6,0.92,255,1
30018319,accounting,0,0.83,6,low,4,0.11,244,1
30018320,support,0,0.56,2,low,3,0.42,134,1
30018321,technical,0,0.57,4,low,4,0.48,270,1
30018322,management,0,0.85,4,low,5,0.83,255,1
30018323,marketing,0,0.53,2,low,3,0.4,151,1
30018324,marketing,0,0.45,2,low,3,0.43,135,1
30018325,marketing,0,0.53,2,low,3,0.43,146,1
30018326,sales,0,0.97,7,low,4,0.1,254,1
30018327,sales,0,0.87,7,low,4,0.1,289,1
30018328,sales,0,0.46,2,low,3,0.37,156,1
30018329,sales,0,0.53,2,low,3,0.38,156,1
30018330,sales,0,0.5,2,low,3,0.4,128,1
30018331,sales,0,0.86,5,low,5,0.89,275,1
30018332,sales,0,0.46,2,low,3,0.45,155,1
30018333,sales,0,0.48,2,low,3,0.37,159,1
30018334,sales,0,0.49,2,low,3,0.46,148,1
30018335,sales,0,0.91,4,low,5,0.87,228,1
30018336,sales,0,0.84,6,low,4,0.11,298,1
30018337,sales,0,0.87,5,low,5,0.79,261,1
30018338,sales,0,0.92,5,low,6,0.79,254,1
30018339,sales,0,0.59,7,low,3,0.19,192,1
30018340,sales,0,0.98,4,low,5,0.87,248,1
30018341,sales,0,0.92,2,low,5,0.6,258,1
30018342,sales,0,0.45,2,medium,3,0.44,156,1
30018343,sales,0,0.81,6,medium,4,0.11,266,1
30018344,sales,0,0.54,2,medium,3,0.42,156,1
30018345,accounting,0,0.88,5,medium,5,0.88,232,1
30018346,accounting,0,0.84,6,medium,4,0.11,287,1
30018347,accounting,0,0.46,2,medium,3,0.46,154,1
30018348,hr,0,0.97,5,medium,5,0.82,263,1
30018349,hr,0,0.56,2,medium,3,0.44,131,1
30018350,hr,0,0.78,6,medium,4,0.11,260,1
30018351,hr,0,0.5,2,medium,3,0.42,139,1
30018352,technical,0,0.93,4,medium,5,0.84,251,1
30018353,technical,0,0.95,6,medium,4,0.11,286,1
30018354,technical,0,0.53,2,high,3,0.45,129,1
30018355,technical,0,0.56,2,low,3,0.38,156,1
30018356,technical,0,0.86,6,medium,6,0.38,139,1
30018357,technical,0,0.51,2,medium,3,0.44,127,1
30018358,technical,0,0.84,6,medium,4,0.11,251,1
30018359,technical,0,0.93,5,medium,5,0.81,270,1
30018360,technical,0,0.96,6,low,4,0.09,296,1
30018361,technical,0,0.9,6,low,4,0.11,254,1
30018362,technical,0,0.95,5,low,6,0.81,238,1
30018363,support,0,0.97,6,low,4,0.1,267,1
30018364,support,0,0.89,5,low,6,0.74,229,1
30018365,support,0,0.78,6,low,4,0.09,254,1
30018366,support,0,0.81,4,low,4,0.82,233,1
30018367,support,0,0.98,6,low,4,0.1,268,1
30018368,support,0,0.56,3,low,3,0.27,301,1
30018369,support,0,0.92,5,low,6,0.83,267,1
30018370,support,0,0.93,6,low,4,0.1,289,1
30018371,support,0,0.47,2,low,3,0.38,144,1
30018372,support,0,0.56,2,low,3,0.4,148,1
30018373,support,0,0.83,6,low,4,0.11,306,1
30018374,technical,1,0.79,6,low,4,0.11,292,1
30018375,technical,0,0.91,5,low,5,0.82,232,1
30018376,technical,0,0.48,2,low,3,0.36,137,1
30018377,management,0,0.46,2,low,3,0.4,128,1
30018378,IT,0,0.84,5,low,5,0.87,231,1
30018379,IT,0,0.49,2,low,3,0.41,146,1
30018380,IT,0,0.91,6,low,4,0.11,308,1
30018381,IT,0,0.93,6,medium,4,0.1,253,1
30018382,IT,0,0.51,2,medium,3,0.38,146,1
30018383,product_mng,0,0.55,2,medium,3,0.39,156,1
30018384,product_mng,0,0.52,2,medium,3,0.4,147,1
30018385,product_mng,0,0.48,2,medium,3,0.45,136,1
30018386,product_mng,0,0.84,5,medium,5,0.74,249,1
30018387,IT,0,0.55,2,medium,3,0.45,151,1
30018388,RandD,0,1,3,medium,4,0.12,278,1
30018389,RandD,0,0.77,7,medium,5,0.1,250,1
30018390,RandD,0,0.55,2,medium,3,0.37,127,1
30018391,RandD,0,0.87,5,medium,5,0.89,255,1
30018392,RandD,0,0.47,2,medium,3,0.45,135,1
30018393,marketing,0,0.46,2,high,3,0.37,149,1
30018394,sales,0,0.81,5,low,4,0.11,287,1
30018395,accounting,0,0.48,2,medium,3,0.41,145,1
30018396,support,0,0.94,6,medium,4,0.1,285,1
30018397,technical,0,0.93,7,medium,4,0.1,305,1
30018398,management,0,0.95,7,medium,4,0.11,300,1
30018399,marketing,0,0.54,2,low,3,0.4,139,1
30018400,marketing,0,0.49,2,low,3,0.41,130,1
30018401,marketing,0,0.81,6,low,4,0.1,268,1
30018402,sales,0,0.86,4,low,6,0.73,245,1
30018403,sales,0,0.47,2,low,3,0.43,135,1
30018404,sales,0,0.46,2,low,3,0.37,153,1
30018405,sales,0,0.94,6,low,4,0.11,276,1
30018406,sales,0,0.46,2,low,3,0.4,130,1
30018407,sales,0,0.54,2,low,3,0.41,153,1
30018408,sales,0,0.84,5,low,5,0.82,244,1
30018409,sales,0,0.47,2,low,3,0.61,253,1
30018410,sales,0,0.91,7,low,4,0.11,287,1
30018411,sales,0,0.45,2,low,3,0.37,131,1
30018412,sales,0,0.52,2,low,3,0.41,135,1
30018413,sales,0,0.52,2,low,3,0.37,157,1
30018414,sales,0,0.99,5,low,6,0.88,262,1
30018415,sales,0,0.85,6,low,4,0.1,266,1
30018416,sales,0,0.48,2,low,3,0.44,148,1
30018417,sales,0,0.57,2,low,3,0.38,140,1
30018418,sales,0,0.85,7,low,4,0.11,302,1
30018419,sales,0,0.98,6,low,4,0.09,271,1
30018420,sales,0,0.52,2,medium,3,0.45,145,1
30018421,accounting,0,0.81,6,medium,4,0.1,290,1
30018422,accounting,0,0.47,2,medium,3,0.45,151,1
30018423,accounting,0,0.87,5,medium,5,0.77,266,1
30018424,hr,0,0.51,2,medium,3,0.44,140,1
30018425,hr,0,0.5,2,medium,3,0.39,142,1
30018426,hr,0,0.91,6,medium,4,0.1,246,1
30018427,hr,0,0.89,7,medium,5,0.09,308,1
30018428,technical,0,0.47,2,medium,3,0.37,141,1
30018429,technical,0,1,5,medium,5,0.9,232,1
30018430,technical,0,0.56,2,medium,3,0.41,143,1
30018431,technical,0,0.52,2,medium,3,0.37,155,1
30018432,technical,0,0.86,6,high,4,0.1,278,1
30018433,technical,0,1,4,low,5,0.81,253,1
30018434,technical,0,0.8,6,medium,4,0.11,282,1
30018435,technical,0,0.84,7,medium,4,0.11,264,1
30018436,technical,0,0.46,2,medium,3,0.4,149,1
30018437,technical,0,0.8,6,medium,5,0.09,304,1
30018438,technical,0,0.93,3,low,6,0.48,219,1
30018439,support,0,0.91,4,low,6,0.91,262,1
30018440,support,0,0.57,2,low,3,0.43,135,1
30018441,support,0,0.88,6,low,5,0.33,219,1
30018442,support,0,0.57,2,low,3,0.41,136,1
30018443,support,0,0.55,2,low,3,0.41,154,1
30018444,support,0,0.54,2,low,3,0.37,149,1
30018445,support,0,0.62,6,low,5,0.31,135,1
30018446,support,0,0.91,6,low,4,0.09,275,1
30018447,support,0,0.87,6,low,4,0.1,290,1
30018448,support,0,0.9,4,low,5,0.76,263,1
30018449,support,0,0.54,2,low,3,0.41,145,1
30018450,technical,0,0.96,5,low,5,0.72,267,1
30018451,technical,0,0.5,2,low,3,0.4,141,1
30018452,technical,0,0.87,4,low,5,0.91,235,1
30018453,management,0,0.83,6,low,4,0.1,258,1
30018454,IT,0,0.56,2,low,3,0.4,131,1
30018455,IT,0,0.86,5,low,5,0.82,243,1
30018456,IT,0,0.82,6,low,4,0.1,266,1
30018457,IT,0,0.45,2,low,3,0.37,142,1
30018458,IT,0,0.51,2,low,3,0.36,135,1
30018459,product_mng,0,0.48,2,medium,3,0.39,141,1
30018460,product_mng,0,0.57,2,medium,3,0.36,142,1
30018461,product_mng,0,0.84,5,medium,5,0.86,254,1
30018462,product_mng,0,0.99,5,medium,5,0.73,262,1
30018463,IT,0,0.71,4,medium,2,0.56,296,1
30018464,accounting,0,0.56,2,medium,3,0.44,158,1
30018465,accounting,0,0.56,4,medium,2,0.31,238,1
30018466,hr,0,0.93,4,medium,5,0.77,231,1
30018467,hr,0,0.45,2,medium,3,0.44,156,1
30018468,hr,0,0.46,2,medium,3,0.38,145,1
30018469,marketing,0,0.48,2,medium,3,0.45,144,1
30018470,sales,0,0.51,2,medium,3,0.38,159,1
30018471,accounting,0,0.48,2,high,3,0.36,156,1
30018472,support,0,0.9,5,low,5,0.75,256,1
30018473,technical,0,0.93,6,medium,4,0.1,298,1
30018474,management,0,0.97,6,medium,4,0.1,247,1
30018475,marketing,0,0.5,2,medium,3,0.45,157,1
30018476,marketing,0,0.57,2,medium,3,0.42,154,1
30018477,marketing,0,1,4,low,5,0.78,253,1
30018478,sales,0,0.55,2,low,3,0.45,148,1
30018479,sales,0,1,4,low,5,0.84,261,1
30018480,sales,0,0.93,6,low,4,0.11,282,1
30018481,sales,0,0.56,2,low,3,0.42,133,1
30018482,sales,0,0.46,2,low,3,0.45,128,1
30018483,sales,0,0.57,2,low,3,0.46,139,1
30018484,sales,0,0.79,6,low,5,0.09,293,1
30018485,sales,0,0.83,4,low,6,0.87,265,1
30018486,sales,0,0.87,6,low,4,0.1,250,1
30018487,sales,0,1,5,low,6,0.91,251,1
30018488,sales,0,0.92,4,low,5,0.76,246,1
30018489,sales,0,1,5,low,5,0.74,275,1
30018490,sales,0,0.93,5,low,5,0.92,240,1
30018491,sales,0,0.87,5,low,5,0.76,245,1
30018492,sales,0,0.5,4,low,4,0.47,254,1
30018493,sales,0,0.99,5,low,5,0.73,241,1
30018494,sales,0,0.94,6,low,4,0.09,257,1
30018495,sales,0,0.92,4,low,5,0.91,246,1
30018496,sales,0,0.98,4,low,5,0.82,233,1
30018497,accounting,0,0.45,6,low,4,0.28,218,1
30018498,accounting,0,0.99,4,medium,6,0.84,262,1
30018499,accounting,0,0.53,2,medium,3,0.45,138,1
30018500,hr,0,0.54,2,medium,3,0.45,142,1
30018501,hr,0,0.97,5,medium,5,0.91,233,1
30018502,hr,0,0.48,2,medium,3,0.42,155,1
30018503,hr,0,1,4,medium,6,0.82,229,1
30018504,technical,0,0.9,6,medium,4,0.11,264,1
30018505,technical,0,0.53,3,medium,4,0.42,199,1
30018506,technical,0,0.85,4,medium,5,0.82,223,1
30018507,technical,0,0.96,6,medium,4,0.09,268,1
30018508,technical,0,0.94,6,medium,4,0.1,287,1
30018509,technical,0,1,5,medium,5,0.86,257,1
30018510,technical,0,0.46,2,high,3,0.4,143,1
30018511,technical,0,0.46,2,low,3,0.45,130,1
30018512,technical,0,0.51,2,medium,3,0.42,136,1
30018513,technical,0,0.92,4,medium,5,0.74,261,1
30018514,technical,0,0.6,3,medium,4,0.55,180,1
30018515,support,0,0.45,2,medium,3,0.37,126,1
30018516,support,0,0.52,2,low,3,0.41,127,1
30018517,support,0,0.65,5,low,6,0.89,195,1
30018518,support,0,0.57,2,low,3,0.41,160,1
30018519,support,0,0.51,2,low,3,0.44,150,1
30018520,support,0,0.84,4,low,6,0.87,264,1
30018521,support,0,0.84,6,low,4,0.1,309,1
30018522,support,0,0.47,2,low,3,0.41,135,1
30018523,support,0,0.85,6,low,4,0.11,261,1
30018524,support,0,0.53,2,low,3,0.43,160,1
30018525,support,0,0.9,4,low,5,0.77,237,1
30018526,technical,0,0.52,2,low,3,0.41,136,1
30018527,technical,0,0.48,2,low,3,0.41,139,1
30018528,technical,0,0.78,2,low,4,0.36,151,1
30018529,management,0,1,5,low,5,0.77,229,1
30018530,IT,0,0.98,5,low,5,0.81,245,1
30018531,IT,0,0.54,2,low,3,0.39,127,1
30018532,IT,0,0.94,6,low,5,0.09,283,1
30018533,IT,0,0.46,2,low,3,0.44,143,1
30018534,IT,0,0.84,5,low,4,0.1,298,1
30018535,product_mng,0,0.48,2,low,3,0.36,159,1
30018536,product_mng,0,0.92,5,low,5,0.81,239,1
30018537,product_mng,0,0.9,4,medium,5,0.81,226,1
30018538,product_mng,0,0.98,5,medium,5,0.85,248,1
30018539,IT,0,0.87,6,medium,4,0.1,286,1
30018540,RandD,0,0.54,2,medium,3,0.37,145,1
30018541,RandD,0,0.97,7,medium,4,0.09,254,1
30018542,RandD,0,0.53,2,medium,3,0.44,127,1
30018543,RandD,0,0.93,5,medium,5,0.86,223,1
30018544,RandD,0,1,4,medium,5,0.77,255,1
30018545,marketing,0,0.48,2,medium,3,0.41,136,1
30018546,sales,0,0.48,2,medium,3,0.4,137,1
30018547,accounting,0,0.49,2,medium,3,0.43,135,1
30018548,support,0,0.5,2,medium,3,0.43,137,1
30018549,technical,0,0.53,3,high,5,0.8,255,1
30018550,management,0,0.85,4,low,5,0.8,273,1
30018551,marketing,0,0.98,5,medium,5,0.82,234,1
30018552,marketing,0,0.54,2,medium,3,0.37,152,1
30018553,marketing,0,0.48,2,medium,3,0.37,134,1
30018554,sales,0,0.95,6,medium,4,0.09,292,1
30018555,sales,0,0.92,5,low,5,0.9,245,1
30018556,sales,0,0.52,2,low,3,0.41,159,1
30018557,sales,0,0.85,6,low,4,0.1,260,1
30018558,sales,0,0.53,2,low,3,0.44,149,1
30018559,sales,0,0.85,5,low,5,0.89,266,1
30018560,sales,0,0.56,2,low,3,0.42,149,1
30018561,sales,0,1,5,low,5,0.87,242,1
30018562,sales,0,0.57,2,low,3,0.45,134,1
30018563,sales,0,0.87,5,low,4,0.11,271,1
30018564,sales,0,0.79,6,low,4,0.09,275,1
30018565,sales,0,0.83,5,low,5,0.76,227,1
30018566,sales,0,0.96,7,low,5,0.11,277,1
30018567,sales,0,0.49,2,low,3,0.37,151,1
30018568,sales,0,0.79,6,low,4,0.1,274,1
30018569,sales,0,0.87,4,low,6,0.77,242,1
30018570,sales,0,0.54,2,low,3,0.42,143,1
30018571,sales,0,0.52,2,low,3,0.38,145,1
30018572,sales,0,0.95,5,low,2,0.32,172,1
30018573,accounting,0,0.49,2,low,3,0.38,135,1
30018574,accounting,0,1,4,low,4,0.19,192,1
30018575,accounting,0,0.83,7,low,4,0.1,276,1
30018576,hr,0,0.88,4,medium,4,0.76,206,1
30018577,hr,0,0.56,4,medium,6,0.53,281,1
30018578,hr,0,0.51,2,medium,3,0.39,151,1
30018579,hr,0,0.83,6,medium,4,0.11,244,1
30018580,technical,0,0.94,6,medium,4,0.1,309,1
30018581,technical,0,1,5,medium,5,0.84,218,1
30018582,technical,0,0.99,4,medium,6,0.82,263,1
30018583,technical,0,0.82,6,medium,4,0.1,244,1
30018584,technical,0,0.49,7,medium,4,0.59,263,1
30018585,technical,0,0.48,2,medium,3,0.44,143,1
30018586,technical,0,0.95,2,medium,5,0.89,181,1
30018587,technical,0,0.84,5,medium,5,0.91,265,1
30018588,technical,0,0.57,5,high,5,0.66,161,1
30018589,technical,0,0.87,7,low,5,0.11,282,1
30018590,technical,0,0.51,2,medium,3,0.43,155,1
30018591,support,0,0.83,4,medium,6,0.78,217,1
30018592,support,0,0.97,6,medium,5,0.11,289,1
30018593,support,0,0.98,4,medium,5,0.83,259,1
30018594,support,0,0.54,2,low,3,0.39,158,1
30018595,support,0,0.55,2,low,3,0.38,158,1
